"attestation_id","data_source","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","supply_country","supply_location","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20220501_ACT_PL_transaction_1_attestation_2493","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2542","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3309,246,"ZL 1.0.0","f047843","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3309 - Filecoin minerID f047843","CN","CN","CN-FJ","465","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3309. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f047843","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2494","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2543","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3310,246,"ZL 1.0.0","f047857","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3310 - Filecoin minerID f047857","CN","CN","CN-FJ","953","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3310. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f047857","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2495","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2544","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3311,246,"ZL 1.0.0","f047868","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3311 - Filecoin minerID f047868","CN","CN","CN-FJ","129","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3311. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f047868","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2496","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2545","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3312,246,"ZL 1.0.0","f048135","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3312 - Filecoin minerID f048135","CN","CN","CN-CQ","143","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3312. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f048135","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2497","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2546","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3313,246,"ZL 1.0.0","f048172","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3313 - Filecoin minerID f048172","CN","CN","CN-JS","1","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3313. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f048172","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2498","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2547","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3314,246,"ZL 1.0.0","f048192","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3314 - Filecoin minerID f048192","CN","CN","CN-JS","1","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3314. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f048192","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2499","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2548","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3315,246,"ZL 1.0.0","f048669","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3315 - Filecoin minerID f048669","CN","CN","CN-JS","372","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3315. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f048669","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2500","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2549","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3316,246,"ZL 1.0.0","f048968","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3316 - Filecoin minerID f048968","CN","CN","CN-SC","249","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3316. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f048968","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2501","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2550","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3317,246,"ZL 1.0.0","f050022","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3317 - Filecoin minerID f050022","CN","CN","CN-SH","21","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3317. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f050022","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2502","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2551","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3318,246,"ZL 1.0.0","f050260","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3318 - Filecoin minerID f050260","CN","CN","CN-JS","1","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3318. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f050260","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2503","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2552","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3319,246,"ZL 1.0.0","f052447","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3319 - Filecoin minerID f052447","CN","CN","CN-XJ","100","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3319. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f052447","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2504","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2553","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3320,246,"ZL 1.0.0","f052701","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3320 - Filecoin minerID f052701","CN","CN","CN-BJ","482","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3320. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f052701","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2505","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2554","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3321,246,"ZL 1.0.0","f053088","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3321 - Filecoin minerID f053088","CN","CN","CN-SH","2","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3321. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f053088","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2506","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2555","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3322,246,"ZL 1.0.0","f053173","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3322 - Filecoin minerID f053173","CN","CN","CN-GD","19","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3322. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f053173","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2507","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2556","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3323,246,"ZL 1.0.0","f053229","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3323 - Filecoin minerID f053229","CN","CN","CN-SD","512","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3323. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f053229","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2508","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2557","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3324,246,"ZL 1.0.0","f054120","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3324 - Filecoin minerID f054120","CN","CN","CN-SC","146","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3324. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f054120","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_2509","auto","20220501_ACT_PL_transaction_1_contract_18","20220501_ACT_PL_transaction_1_allocation_2558","0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",3325,246,"ZL 1.0.0","f054163","Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 3325 - Filecoin minerID f054163","CN","CN","CN-GD","2","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 3325. The certificates will be created as tokens of type ERC1888-Topic1 This redemption is matched to Filecoin minerID f054163","20220510_ACT_PL_transaction_1_delivery_1"
