"attestation_id","redemption_process","contract_id","allocation_id","smart_contract_address","batchID","network","zl_protocol_version","minerID","beneficiary","beneficiary_country","beneficiary_location","supply_country","volume_required","start_date","end_date","redemption_purpose","attestation_folder"
"20220501_ACT_PL_transaction_1_attestation_11","manual","20220501_ACT_PL_transaction_1_contract_4",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",805,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 805 ","DE",,"DE","8281","2021-01-04","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 805. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_12","manual","20220501_ACT_PL_transaction_1_contract_5",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",806,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 806 ","DE",,"DE","5974","2021-10-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 806. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_13","manual","20220501_ACT_PL_transaction_1_contract_6",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",807,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 807 ","FR",,"FR","91","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 807. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_14","manual","20220501_ACT_PL_transaction_1_contract_7",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",808,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 808 ","BE",,"BE","173","2021-01-01","2021-06-30","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 808. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_15","manual","20220501_ACT_PL_transaction_1_contract_8",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",809,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 809 ","BE",,"BE","1655","2021-07-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 809. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_16","manual","20220501_ACT_PL_transaction_1_contract_9",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",810,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 810 ","GB",,"GB","228","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 810. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_17","manual","20220501_ACT_PL_transaction_1_contract_10",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",811,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 811 ","NO",,"NO","525","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 811. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_18","manual","20220501_ACT_PL_transaction_1_contract_11",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",812,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 812 ","DK",,"DK","61","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 812. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_19","manual","20220501_ACT_PL_transaction_1_contract_12",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",813,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 813 ","BG",,"BG","123","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 813. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_20","manual","20220501_ACT_PL_transaction_1_contract_13",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",814,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 814 ","PL",,"PL","101","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 814. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
"20220501_ACT_PL_transaction_1_attestation_21","manual","20220501_ACT_PL_transaction_1_contract_19",,"0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900",815,246,"ZL 1.0.0",,"Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 815 ","JP",,"JP","6013","2021-01-01","2021-12-31","The certificates are redeemed (= assigned to the beneficiary) for the purpose of tokenization and bridging to the Blockchain: Energy Web Chain with the Network ID 246. The smart contract address is 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 and the specific certificate batch ID is 815. The certificates will be created as tokens of type ERC1888-Topic1 ","20220510_ACT_PL_transaction_1_delivery_1"
