"ID","name","country","location","redemption_account","volume_required","start_date","end_date","redemption_purpose"
"","f08103","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08103"
"","f08148","CN","HK","Longli Jia Tuo Mountain Windfarm",107,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08148"
"","f08157","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",40,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08157"
"","f08197","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",6,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08197"
"","f08242","CN","HK","Longli Jia Tuo Mountain Windfarm",3,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08242"
"","f08264","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08264"
"","f09002","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",436,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09002"
"","f09589","CN","CN-HN","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09589"
"","f09620","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",118,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09620"
"","f09675","CN","HK","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09675"
"","f09693","CN","CN-XJ","Longli Jia Tuo Mountain Windfarm",132,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09693"
"","f010247","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010247"
"","f010399","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",30,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010399"
"","f010400","CN","CN-LN","Longli Jia Tuo Mountain Windfarm",463,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010400"
"","f010405","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010405"
"","f010507","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",13,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010507"
"","f010523","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",12,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010523"
"","f010528","CN","CN-CQ","Longli Jia Tuo Mountain Windfarm",11,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010528"
"","f014251","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",273,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014251"
"","f014394","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014394"
"","f014522","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",38,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014522"
"","f014569","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",154,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014569"
"","f015233","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",92,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015233"
"","f015685","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015685"
"","f015885","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",363,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015885"
"","f015897","CN","HK","Longli Jia Tuo Mountain Windfarm",42,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015897"
"","f016276","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f016276"
"","f017665","CN","CN-LN","Longli Jia Tuo Mountain Windfarm",127,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f017665"
"","f019002","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",713,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019002"
"","f019240","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",50,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019240"
"","f019362","CN","CN-HB","Longli Jia Tuo Mountain Windfarm",14,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019362"
"","f019638","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019638"
"","f020331","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",538,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020331"
"","f020398","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020398"
"","f020436","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020436"
