"contract_id","minerID","volume_MWh","attestation_id","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete"
"20220207_SP_PL_transaction_1_contract_1","f09693",134,"20220207_SP_PL_transaction_1_attestation_45",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f010399",30,"20220207_SP_PL_transaction_1_attestation_46",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f010400",465,"20220207_SP_PL_transaction_1_attestation_47",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f010507",13,"20220207_SP_PL_transaction_1_attestation_48",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f010528",11,"20220207_SP_PL_transaction_1_attestation_49",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f014251",276,"20220207_SP_PL_transaction_1_attestation_50",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f014394",2,"20220207_SP_PL_transaction_1_attestation_51",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f014522",38,"20220207_SP_PL_transaction_1_attestation_52",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f014569",155,"20220207_SP_PL_transaction_1_attestation_53",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f015233",92,"20220207_SP_PL_transaction_1_attestation_54",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f015685",1,"20220207_SP_PL_transaction_1_attestation_55",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f015897",43,"20220207_SP_PL_transaction_1_attestation_56",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f016276",1,"20220207_SP_PL_transaction_1_attestation_57",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f017665",127,"20220207_SP_PL_transaction_1_attestation_58",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f019002",717,"20220207_SP_PL_transaction_1_attestation_59",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f019240",51,"20220207_SP_PL_transaction_1_attestation_60",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f019362",14,"20220207_SP_PL_transaction_1_attestation_61",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f019638",2,"20220207_SP_PL_transaction_1_attestation_62",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f020331",544,"20220207_SP_PL_transaction_1_attestation_63",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f020398",1,"20220207_SP_PL_transaction_1_attestation_64",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f020436",1,"20220207_SP_PL_transaction_1_attestation_65",0,0,0,0,0,0,0,0,0
"20220207_SP_PL_transaction_1_contract_1","f020523",2,"20220207_SP_PL_transaction_1_attestation_66",0,0,0,0,0,0,0,0,0
