start_date,beneficiary,source,contract_id,minerID,volume_MWh,attestation_id,defaulted,step4_ZL_contract_complete,step5_redemption_data_complete,step6_attestation_info_complete,step7_certificates_matched_to_supply,step8_IPLDrecord_complete,step9_transaction_complete,step10_volta_complete,step11_finalRecord_complete
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 21 - Filecoin MinerID: f02723,Longli Jia Tuo Mountain Windfarm,,,207,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 22 - Filecoin MinerID: f02725,Longli Jia Tuo Mountain Windfarm,,,9,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 23 - Filecoin MinerID: f02838,Longli Jia Tuo Mountain Windfarm,,,305,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 24 - Filecoin MinerID: f03134,Longli Jia Tuo Mountain Windfarm,,,72,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 25 - Filecoin MinerID: f03144,Longli Jia Tuo Mountain Windfarm,,,197,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 26 - Filecoin MinerID: f03249,Longli Jia Tuo Mountain Windfarm,,,29,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 27 - Filecoin MinerID: f03328,Longli Jia Tuo Mountain Windfarm,,,249,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 28 - Filecoin MinerID: f03345,Longli Jia Tuo Mountain Windfarm,,,11,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 29 - Filecoin MinerID: f03358,Longli Jia Tuo Mountain Windfarm,,,8,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 30 - Filecoin MinerID: f03363,Longli Jia Tuo Mountain Windfarm,,,37,,0,0,0,0,0,0,0,0,0
2021-04-01,Blockchain Network ID: 246 - Tokenization Protocol: ZL 1.0.0 - Smart Contract Address: 0x2248a8E53c8cf533AEEf2369FfF9Dc8C036c8900 - Batch ID: 31 - Filecoin MinerID: f03364,Longli Jia Tuo Mountain Windfarm,,,69,,0,0,0,0,0,0,0,0,0
