"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete"
"20220607_SP_FF_transaction_2_allocation_1",,"20220607_SP_FF_transaction_2_contract_1","f073552",5,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_2",,"20220607_SP_FF_transaction_2_contract_1","f073628",3,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_3",,"20220607_SP_FF_transaction_2_contract_1","f073697",2,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_4",,"20220607_SP_FF_transaction_2_contract_1","f078522",2,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_5",,"20220607_SP_FF_transaction_2_contract_1","f078772",26,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_6",,"20220607_SP_FF_transaction_2_contract_1","f079197",15,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_7",,"20220607_SP_FF_transaction_2_contract_1","f079247",2,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_8",,"20220607_SP_FF_transaction_2_contract_1","f079301",3,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_9",,"20220607_SP_FF_transaction_2_contract_1","f079426",1,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_10",,"20220607_SP_FF_transaction_2_contract_1","f079618",6,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_11",,"20220607_SP_FF_transaction_2_contract_1","f079815",6,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_12",,"20220607_SP_FF_transaction_2_contract_1","f080468",18,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_13",,"20220607_SP_FF_transaction_2_contract_1","f082095",49,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_14",,"20220607_SP_FF_transaction_2_contract_1","f082452",11,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_15",,"20220607_SP_FF_transaction_2_contract_1","f082617",19,0,0,0,0,0,0,0,0,0
"20220607_SP_FF_transaction_2_allocation_16",,"20220607_SP_FF_transaction_2_contract_1","f083065",1,0,0,0,0,0,0,0,0,0
