"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete"
"20220916_SP_FF_transaction_3_allocation_1","176b3cfb-5c7f-44f6-87ac-49f4e9ab89a4","20220916_SP_FF_transaction_3_contract_1","f0113008","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_2","58c92848-1b69-4c92-8df8-c25558556783","20220916_SP_FF_transaction_3_contract_1","f0116513","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_3","a8ac500f-4133-48f9-96ff-430e81c06d42","20220916_SP_FF_transaction_3_contract_1","f05664","9","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_4","0c8ff927-d27d-4d41-a1c8-ce8991588b1e","20220916_SP_FF_transaction_3_contract_1","f0400103","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_5","e6f62fda-74e7-4b34-8af4-61ff3d2f08d2","20220916_SP_FF_transaction_3_contract_1","f01045812","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_6","649a9394-ec44-4dff-af56-05f52bc2dee7","20220916_SP_FF_transaction_3_contract_1","f0130912","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_7","8fecde10-191f-4383-9145-f6767c35a86e","20220916_SP_FF_transaction_3_contract_1","f0126535","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_8","50c2afe3-1656-4b19-a65d-8d5fabb8f92e","20220916_SP_FF_transaction_3_contract_1","f0166327","83","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_9","e41e9dc1-dab8-42a1-8920-7eac5bfc7db0","20220916_SP_FF_transaction_3_contract_1","f022072","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_10","e992ea59-b1cb-4f41-83ba-5981ae0116a7","20220916_SP_FF_transaction_3_contract_1","f0217805","5","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_11","070dc31d-161c-4c08-9e90-e79a476ffa47","20220916_SP_FF_transaction_3_contract_1","f010202","266","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_12","fdefbf54-60e0-4fcf-9fe5-bcf96b8f582c","20220916_SP_FF_transaction_3_contract_1","f0467217","13","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_13","320846be-8682-45f7-95a7-862d2c1c5af1","20220916_SP_FF_transaction_3_contract_1","f02492","10","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_14","28315ed3-5a01-4a31-b46c-eec324eee20a","20220916_SP_FF_transaction_3_contract_1","f02725","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_15","ba4a0efe-b483-45a3-b885-7e4b817c293f","20220916_SP_FF_transaction_3_contract_1","f03144","66","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_16","beaaf205-24d4-4c34-9712-0d9043a10c5a","20220916_SP_FF_transaction_3_contract_1","f03344","54","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_17","bc0a92ec-1bb0-4cb0-b6df-53714f90c39d","20220916_SP_FF_transaction_3_contract_1","f03544","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_18","4610dc67-11a5-4bd9-a433-0cbb1df270e3","20220916_SP_FF_transaction_3_contract_1","f08032","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_19","d7e4bfd7-bb5e-45ea-8623-d2859f1bb224","20220916_SP_FF_transaction_3_contract_1","f08148","143","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_20","5d0eea75-0d95-476d-8e9a-0c5c7a5fbbad","20220916_SP_FF_transaction_3_contract_1","f08242","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_21","ee8c39bc-e729-472a-b894-a1d2e8c7e3f7","20220916_SP_FF_transaction_3_contract_1","f09597","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_22","18c0e61f-8cee-4866-bf06-2e0f6a39ce17","20220916_SP_FF_transaction_3_contract_1","f09675","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_23","12e4a1e7-ee23-46bd-b876-b614a4286d5f","20220916_SP_FF_transaction_3_contract_1","f09731","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_24","f8765544-0585-45c7-853a-8e1bf5025c06","20220916_SP_FF_transaction_3_contract_1","f010291","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_25","25879f4a-b7d9-4828-b07a-704e06bcfd34","20220916_SP_FF_transaction_3_contract_1","f010313","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_26","bf056067-391f-4e7c-b917-827147a6ae7f","20220916_SP_FF_transaction_3_contract_1","f014261","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_27","153f19bc-f004-4f7f-8a61-d1f19930650a","20220916_SP_FF_transaction_3_contract_1","f015855","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_28","ec16c9e7-bafe-46ab-9627-9424d64f4279","20220916_SP_FF_transaction_3_contract_1","f015873","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_29","337a62b3-c77c-4816-9f6b-06d8e9638d84","20220916_SP_FF_transaction_3_contract_1","f015897","13","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_30","79a38cfb-f889-4634-98f9-a4ec1196ebae","20220916_SP_FF_transaction_3_contract_1","f016408","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_31","7187f88d-6b22-4847-94dd-815e392bdbac","20220916_SP_FF_transaction_3_contract_1","f016866","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_32","c54e57a3-c34a-4a32-b54e-86cf6f3a6c8d","20220916_SP_FF_transaction_3_contract_1","f017655","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_33","15909910-4169-4421-a90d-d8d7e860a0af","20220916_SP_FF_transaction_3_contract_1","f017796","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_34","54526b64-045e-4da2-8392-84a2667b2c82","20220916_SP_FF_transaction_3_contract_1","f019099","4","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_35","80de7456-aa3e-4e4a-9dda-c4593eb44eba","20220916_SP_FF_transaction_3_contract_1","f019189","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_36","1c39c448-941b-46b6-986b-67ab00bd83f9","20220916_SP_FF_transaction_3_contract_1","f019272","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_37","b7b61197-c36c-4114-b542-9e2743d464a3","20220916_SP_FF_transaction_3_contract_1","f019280","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_38","6bd7229d-5198-42b4-9ca9-4aab1f6459c2","20220916_SP_FF_transaction_3_contract_1","f019637","2","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_39","2f7f63d3-7bd0-4421-b294-d73c8f694232","20220916_SP_FF_transaction_3_contract_1","f019825","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_40","b0050422-1822-4298-8bd5-245f8ed40620","20220916_SP_FF_transaction_3_contract_1","f020450","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_41","650d3cc5-3569-468f-8985-ac683c84609d","20220916_SP_FF_transaction_3_contract_1","f020457","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_42","5b655fad-e6a6-48e5-a92c-f863555679fe","20220916_SP_FF_transaction_3_contract_1","f020572","5","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_43","53965fef-ae83-4bbc-9d65-ffecec754467","20220916_SP_FF_transaction_3_contract_1","f020914","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_44","1633d5d8-fcf2-4b7e-aa10-5540cb060b7d","20220916_SP_FF_transaction_3_contract_1","f020993","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_45","2b3f64a4-e39f-41d1-92b2-3c8690ae1e63","20220916_SP_FF_transaction_3_contract_1","f021142","5","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_46","454484e7-868d-4fd7-998d-49b5ed617fa1","20220916_SP_FF_transaction_3_contract_1","f021494","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_47","866bf08c-dd20-466c-a3bc-3fc4512b7e37","20220916_SP_FF_transaction_3_contract_1","f021509","1","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_48","b1443ff0-fa21-43d9-ae5d-c07f9504eab0","20220916_SP_FF_transaction_3_contract_1","f021580","3","0","0","0","0","0","0","0","0","0"
"20220916_SP_FF_transaction_3_allocation_49","6ba65583-4419-4af8-a594-2bb57638d702","20220916_SP_FF_transaction_3_contract_1","f022070","1","0","0","0","0","0","0","0","0","0"
