"certificate","volume_MWh","order_folder","allocation"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_3",3066,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_5"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",240,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_40"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",860,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_22"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",2968,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_36"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",4497,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_27"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5",265,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_30"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5",950,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_16"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5",3752,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_24"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_5",5946,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_20"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_6",257,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_38"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_6",921,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_18"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_6",1809,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_44"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_6",3658,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_21"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_6",4355,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_6"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",81,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_78"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",257,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_39"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",921,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_19"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",1035,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_11"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",1497,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_4"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_7",3209,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_25"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_8",330,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_6"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_9",336,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_25"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11",265,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_32"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11",952,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_12"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11",1356,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_45"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_11",1958,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_43"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_3_certificate_1",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_136"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_1",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_141"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_2",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_142"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_3",5,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_135"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_4",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_147"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_5",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_148"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_35_certificate_6",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_149"
"GO_Cancellation_ProtocolLabs-Miner ID f02576_2021_Denmark_4_certificate_1",4,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_137"
"GO_Cancellation_ProtocolLabs-Miner ID f0720636_2021_Belgium_263_certificate_1",102,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_59"
"GO_Cancellation_ProtocolLabs-Miner ID f0720636_2021_Belgium_263_certificate_2",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_84"
"GO_Cancellation_ProtocolLabs-Miner ID f0720636_2021_Belgium_263_certificate_3",24,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_85"
"GO_Cancellation_ProtocolLabs-Miner ID f0720636_2021_Belgium_263_certificate_4",46,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_86"
"GO_Cancellation_ProtocolLabs-Miner ID f0720636_2021_Belgium_263_certificate_5",90,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_46"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_88"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_2",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_89"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_3",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_90"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_4",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_91"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_5",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_92"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_6",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_93"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_7",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_94"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_8",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_95"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_9",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_96"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_10",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_97"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_11",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_98"
"US_GreenE_15MWh_Jan_to_August_2021_certificate_12",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_99"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_130"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_132"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_1",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_131"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_2",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_133"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_2",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_150"
"US_GreenE_22MWh_July2021_to_Aug2021_certificate_2",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_134"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_3",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_123"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_3",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_124"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_4",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_126"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_4",8,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_125"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_5",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_127"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_5",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_129"
"US_GreenE_28MWh_Nov2020_to_June2021_certificate_5",8,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_128"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_1",22,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_52"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_2",32,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_52"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_4",19,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_71"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_8",23,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_53"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_9",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_53"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_10",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_144"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_10",13,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_54"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_11",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_145"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_11",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_157"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_11",5,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_155"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_12",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_155"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_12",13,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_55"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_13",13,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_56"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_14",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_79"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_14",13,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_72"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_14",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_158"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_15",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_158"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_16",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_158"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_16",16,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_156"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_17",15,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_156"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_18",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_159"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_18",6,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_146"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_18",14,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_57"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_18",6,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_60"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_19",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_60"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_19",26,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_74"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_20",23,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_74"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_21",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_74"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_22",20,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_74"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_23",15,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_74"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",2,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_160"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_61"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",3,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_73"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",9,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_80"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",15,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_58"
"US_GreenE_563MWh_Jan_to_August_2021_certificate_24",130,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_49"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_111"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_112"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_113"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_114"
"CA_GreenE_34MWh_Dec2020_to_June2021_certificate_1",1,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_161"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",257,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_37"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",265,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_31"
"CN_IREC_82583MWh_Jan2021_to_August2021_certificate_4",268,"20211115_3D_PL_transaction_1","20211115_3D_PL_transaction_1_allocation_29"
