"allocation_id","UUID","contract_id","minerID","volume_MWh","defaulted","step4_ZL_contract_complete","step5_redemption_data_complete","step6_attestation_info_complete","step7_certificates_matched_to_supply","step8_IPLDrecord_complete","step9_transaction_complete","step10_volta_complete","step11_finalRecord_complete","allocation_cid"
"20211115_3D_PL_transaction_1_allocation_21","a9d0dee3-0507-44d5-a297-63a1b4f96323","20211115_3D_PL_transaction_1_contract_21","f0128559",3658,0,0,0,0,0,0,0,0,0,"bafyreie57pczxlfqtvg3u2ntkgehtw2tmvvrhwnrkk5foedyeiwpujzpiy"
"20211115_3D_PL_transaction_1_allocation_22","67aeebb2-ef99-40d9-977a-a6806215adb6","20211115_3D_PL_transaction_1_contract_22","f02770",860,0,0,0,0,0,0,0,0,0,"bafyreib7ksve2qghcnrystqpiok6ytraof26tp3qysv57xyo5jetehifqm"
"20211115_3D_PL_transaction_1_allocation_23","21b0e20f-08f9-44b0-9a6f-d3c9289e720e","20211115_3D_PL_transaction_1_contract_23","f02770",3455,0,0,0,0,0,0,0,0,0,"bafyreiatkh2hjq6njac7ncukrfoamiqw6asfmum22z4b6qhiip7nikset4"
"20211115_3D_PL_transaction_1_allocation_24","edffe919-bb7b-4f03-8a0a-1f3571d4a357","20211115_3D_PL_transaction_1_contract_24","f0128559",3752,0,0,0,0,0,0,0,0,0,"bafyreicqpmusqi47lclenv7r6muqq3upc3dwsqxrtdp5ytudfgxvr4qtba"
"20211115_3D_PL_transaction_1_allocation_25","e9363a71-62bd-4049-a6b6-54f195949bcf","20211115_3D_PL_transaction_1_contract_25","f0688165",3545,0,0,0,0,0,0,0,0,0,"bafyreiaafgwxpetcbwwf4fqe456kmd2m4bme2exel3jp4n2jt5krnmtkku"
"20211115_3D_PL_transaction_1_allocation_26","9e79bb58-56f2-4f13-bb84-3aacee431957","20211115_3D_PL_transaction_1_contract_26","f02770",3651,0,0,0,0,0,0,0,0,0,"bafyreihx2xvsc2manh2cn6jdmz3bsfsfsyymrhdt2oygc5ppl2cn47zjna"
"20211115_3D_PL_transaction_1_allocation_27","13e40454-e563-4070-bab2-81a5877a54fd","20211115_3D_PL_transaction_1_contract_27","f0127595",4497,0,0,0,0,0,0,0,0,0,"bafyreibpnd4w3nwnd66qotdv3oi4s6sjxsw2dhwk4zogbokfb5sudnplbu"
"20211115_3D_PL_transaction_1_allocation_28","9957447a-7d04-45be-a9c0-6e6d1e40f7f2","20211115_3D_PL_transaction_1_contract_28","f0688165",2926,0,0,0,0,0,0,0,0,0,"bafyreiauso3diqiu2g2qildov3lvimnkdz5v2n3r32cmyiamhmq5b2muby"
"20211115_3D_PL_transaction_1_allocation_29","12c06ebf-e6f5-4eba-82e0-809046c44a2e","20211115_3D_PL_transaction_1_contract_29","f02775",268,0,0,0,0,0,0,0,0,0,"bafyreidgeiswwoh5ymgle2jsfbm6x6ohh5wdmrlzlahhewicroy4omfhoq"
"20211115_3D_PL_transaction_1_allocation_30","606a5406-5026-4ea8-97aa-0ca1b62f2a1d","20211115_3D_PL_transaction_1_contract_30","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreid47vixj4evtcomvf2ojnc76yb2u2z55xqg56jb6s243zjhklrxqe"
"20211115_3D_PL_transaction_1_allocation_31","c10fe862-ac44-49c6-8694-d47c118dc8ef","20211115_3D_PL_transaction_1_contract_31","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreid6ozp26tfdvk3cvuano6bx3t7hudmpqsgzx6s3ouymagtqtngg6u"
"20211115_3D_PL_transaction_1_allocation_32","fd589b7e-e078-4e29-9987-d20f07eb3af9","20211115_3D_PL_transaction_1_contract_32","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreibxyxu3ns2te5jqft4j5y3lhaf53sg2hgdcgxbjkxrlwi33lhs4ou"
"20211115_3D_PL_transaction_1_allocation_33","697467b2-6428-481a-b032-989fdbce1d2c","20211115_3D_PL_transaction_1_contract_33","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreid2xfalqda5uzbmojcm6xadkfdeioomtvr6p5eddx4vpnue2vbsra"
"20211115_3D_PL_transaction_1_allocation_34","1eb088d3-1b66-4e1e-be49-24681d560257","20211115_3D_PL_transaction_1_contract_34","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreid53rhsjelwry55ozrd3zk62xnay52i2gs33527hsh4m7h7aeuzcm"
"20211115_3D_PL_transaction_1_allocation_35","47a4e267-ffc3-470a-a520-03103db1b98d","20211115_3D_PL_transaction_1_contract_35","f02775",265,0,0,0,0,0,0,0,0,0,"bafyreiglw5hyko5ueye6mpntcdvaoyrmydgilpznozbpamvdi6ge253soe"
"20211115_3D_PL_transaction_1_allocation_36","c64b39b9-1375-4b4b-a3b1-a19715d106d6","20211115_3D_PL_transaction_1_contract_36","f0128559",2968,0,0,0,0,0,0,0,0,0,"bafyreiaur57xdihmlnjfctgawc7ns5ph5frjxkopqnodwl3lbrfl4dp4tu"
"20211115_3D_PL_transaction_1_allocation_37","7d96a758-9594-46be-bbed-69abc74bb1d5","20211115_3D_PL_transaction_1_contract_37","f02775",257,0,0,0,0,0,0,0,0,0,"bafyreihd5oue4wap7xtheaieg5ftgqnkj6bowj6npbgo6kap7q7brzrrzm"
"20211115_3D_PL_transaction_1_allocation_38","9e2f056f-c74c-40fa-b92e-b3ec72d86fe0","20211115_3D_PL_transaction_1_contract_38","f02775",257,0,0,0,0,0,0,0,0,0,"bafyreidjj65ax6c4z5yzrq25pb5ckw4d4duldf5r4fkedzjqoe7d3gxrbi"
"20211115_3D_PL_transaction_1_allocation_39","761e22e5-f76f-486b-9565-6fdbab2ef516","20211115_3D_PL_transaction_1_contract_39","f02775",257,0,0,0,0,0,0,0,0,0,"bafyreiajfd5kdwjeiagtw45ji7ne5naw4k75yp6kufw5nllp4kkb2w67uu"
"20211115_3D_PL_transaction_1_allocation_40","8eb989d1-0bf6-48ed-9257-9e91a43a18bc","20211115_3D_PL_transaction_1_contract_40","f02775",240,0,0,0,0,0,0,0,0,0,"bafyreiddqmqvicr56a7rioframy5iyzbjeeex5mzao33zplpahg2b4sxbi"
"20211115_3D_PL_transaction_1_allocation_41","ee940df1-3515-441a-8265-b4d70f2bd2e7","20211115_3D_PL_transaction_1_contract_41","f02775",2492,0,0,0,0,0,0,0,0,0,"bafyreicogbz7rm4mum4gvn5g5n64gdrf7vqlcr5hpsyueynu3qay52r57i"
"20211115_3D_PL_transaction_1_allocation_42","4e4504dd-2871-418b-b965-f29fea48c61d","20211115_3D_PL_transaction_1_contract_42","f02770",1985,0,0,0,0,0,0,0,0,0,"bafyreigig3n5kpysudljymynbar4rjhratyp5m5lwxstbxv5glfaxzpe5e"
"20211115_3D_PL_transaction_1_allocation_43","e9c86d5e-74e1-444f-9486-7303504e30c9","20211115_3D_PL_transaction_1_contract_43","f0127595",1958,0,0,0,0,0,0,0,0,0,"bafyreicdrpfw4lnibocxfbch4yvi4y7n5jvidrt3iyhj6s6o57kf64bwry"
"20211115_3D_PL_transaction_1_allocation_44","d7799315-96d6-4392-a407-b0b14df5b54a","20211115_3D_PL_transaction_1_contract_44","f0688165",1809,0,0,0,0,0,0,0,0,0,"bafyreicu7lzg42gq676277imm5x7vnvbr6isfjo7hpgxfg3xckrat7a3ju"
"20211115_3D_PL_transaction_1_allocation_45","f97eeba7-518f-4fd2-bff6-2fee3068f4c8","20211115_3D_PL_transaction_1_contract_45","f0128559",1356,0,0,0,0,0,0,0,0,0,"bafyreib2y5irg3xw7fr3kr3i6nvdtjmxwc555dmkxd7ngpxvfm2k2pr6ae"
"20211115_3D_PL_transaction_1_allocation_46","c6b28f54-91a6-4ca4-83ed-7a52732a7421","20211115_3D_PL_transaction_1_contract_46","f0720636",90,0,0,0,0,0,0,0,0,0,"bafyreihs2ijpmkxzi22csxrcbqlxpko5yocojdrvdye2w4srvq2i2jzzji"
"20211115_3D_PL_transaction_1_allocation_47","169a93aa-9fe0-4242-bad9-5b922a16f367","20211115_3D_PL_transaction_1_contract_47","f01051178",124,0,0,0,0,0,0,0,0,0,"bafyreifpingsmazelu2nfcfgz5qg675iznbrj44a5udbplai2tlfofnva4"
"20211115_3D_PL_transaction_1_allocation_48","c479d02e-a870-4acd-90cc-226ab6aa8e01","20211115_3D_PL_transaction_1_contract_48","f01051178",20,0,0,0,0,0,0,0,0,0,"bafyreieywpywuvhirhfar6mksuu7zfppqygtw5dyo3nscabquo5ksxqsue"
"20211115_3D_PL_transaction_1_allocation_49","9beec951-50f9-48fb-ab5c-c8cdcf97a740","20211115_3D_PL_transaction_1_contract_49","f0763337",130,0,0,0,0,0,0,0,0,0,"bafyreiblyxjqrbghpllcky7warxiny7467724p7bt4daf4ndd5xfegp2lm"
"20211115_3D_PL_transaction_1_allocation_50","57ddb1b2-51e9-4f49-b8dd-b722c9a028dd","20211115_3D_PL_transaction_1_contract_50","f01234",32,0,0,0,0,0,0,0,0,0,"bafyreigvtsjagl5fxv5wze66pwvomdjcynttifw6usal2lbovo255vuo3q"
"20211115_3D_PL_transaction_1_allocation_51","e51bd084-cdcd-4a2a-b095-b1787de6e12e","20211115_3D_PL_transaction_1_contract_51","f01234",31,0,0,0,0,0,0,0,0,0,"bafyreigmtipv5p5vmoutzfqqzirpwibhuzcdltmum2w564ffqgwlcdnc5q"
"20211115_3D_PL_transaction_1_allocation_52","c0a86ece-b998-4436-ac19-0e8e85a12abf","20211115_3D_PL_transaction_1_contract_52","f066596",54,0,0,0,0,0,0,0,0,0,"bafyreif5kudo3vuwhtqh2gplrhlbkywrv32nqg7ik5ti4wq5n2bikqauam"
"20211115_3D_PL_transaction_1_allocation_53","0cd7ae52-6650-4f3e-b4ad-30596aba3d92","20211115_3D_PL_transaction_1_contract_53","f066596",24,0,0,0,0,0,0,0,0,0,"bafyreifxxtbuaesk55zyx5fcnmnwufekfhmx7ybu5dwl24v2htlgcbfha4"
"20211115_3D_PL_transaction_1_allocation_54","43338b70-fc6b-4ced-afbd-932be9782f3a","20211115_3D_PL_transaction_1_contract_54","f066596",13,0,0,0,0,0,0,0,0,0,"bafyreihnmcsxpheex2aue6uv3zhwmpav6t2f77nzfz6vhdatvlkiyeprru"
"20211115_3D_PL_transaction_1_allocation_55","9d0f454b-cf18-4afe-becf-d3e499bf53ac","20211115_3D_PL_transaction_1_contract_55","f066596",13,0,0,0,0,0,0,0,0,0,"bafyreiapt2ynq2bvmbc2yfihl2zbfv2ivjsulgjf7qg5rrztgztjv34r3a"
"20211115_3D_PL_transaction_1_allocation_56","3f483085-0ec5-4124-9d0e-6b224b48c469","20211115_3D_PL_transaction_1_contract_56","f066596",13,0,0,0,0,0,0,0,0,0,"bafyreihm4wkjazfpudqw3qyadhmsgeisxki6rtppytcewyuxwhlc3n4flm"
"20211115_3D_PL_transaction_1_allocation_57","4b11f22a-1bed-45bf-9b86-a5db4402e581","20211115_3D_PL_transaction_1_contract_57","f066596",14,0,0,0,0,0,0,0,0,0,"bafyreifgxwziyhjajtpwo4ojufdig7spoc6tqxa5imwy6badllzoau6gry"
"20211115_3D_PL_transaction_1_allocation_58","d6612c0b-1a2f-4a91-ab99-a1509fa6685e","20211115_3D_PL_transaction_1_contract_58","f066596",15,0,0,0,0,0,0,0,0,0,"bafyreih2pdjx3xypnyqeaq6su6mva6xb4ehzpynzzzmbhxuylcy3iwy2ti"
"20211115_3D_PL_transaction_1_allocation_59","4a61f39b-96cc-4157-ba15-d40662c9a970","20211115_3D_PL_transaction_1_contract_59","f0720636",102,0,0,0,0,0,0,0,0,0,"bafyreif4abprsu7z3zjhpqcynzxh747bkao2t6k6iighqaslz2bsfbzadm"
"20211115_3D_PL_transaction_1_allocation_60","91e140de-79b1-4910-9b37-929ff697a50c","20211115_3D_PL_transaction_1_contract_60","f01051828",15,0,0,0,0,0,0,0,0,0,"bafyreibhym2qcvnjn2iqwqnr4cliq2yecoaxfcu5i2rmkibq2tbd443roy"
"20211115_3D_PL_transaction_1_allocation_61","932e47c8-d640-484f-b723-c59f67f590ba","20211115_3D_PL_transaction_1_contract_61","f01051828",3,0,0,0,0,0,0,0,0,0,"bafyreiemfk6hthgh7flplvex2rfevvk662mjkfno3gjow3koh5ouawntdu"
