"tranche_id","productType","energySources","contractDate","deliveryDate","reportingStart","reportingEnd","sellerName","sellerAddress","country","region","volume_MWh","step2_order_complete","step3_match_complete","step4_contract_complete","step5_attestation_complete","step6_IPLDrecord_complete","step7_transaction_complete","step8_volta_complete","step9_finalRecord_complete"
"20211115_3D_PL_transaction_1_line_94","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-03-01","2021-03-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_95","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-04-01","2021-04-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",2,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_96","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-05-01","2021-05-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_97","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-06-01","2021-06-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",2,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_98","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-07-01","2021-07-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_99","GREEN-E","wind, solar","2021-11-15","2022-04-15","2021-08-01","2021-08-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","US","RFC",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_100","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",2,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_101","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_102","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_103","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_104","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_105","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_106","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_107","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
"20211115_3D_PL_transaction_1_line_108","LGC","wind, solar","2021-11-15","2022-04-15","2021-01-01","2021-12-31","3Degrees Group, Inc","235 Montgomery St Suite 320 CA94104 San Francisco US","AU","",1,1,1,0,0,0,0,0,0
