Environmental Product, Quantity ,Reporting Year / Vintage,Region/Country of Retirement,Retirement Notes,,
GO -Belgium Solar and/or Wind,                 18 ,June 2021,Belgium,Filecoin ID:: f01234,,
LGC - Australia Wind and/or Solar,                   2 ,Calendar Year 2021, N/A,Filecoin ID:: f014365,,
GO -Belgium Solar and/or Wind,                   2 ,7/1/20 - 3/31/21,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,Belgium,Filecoin ID:: f01234,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 45 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f066596,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 19 ,February 2021,N/A,Filecoin ID:: f066596,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 13 ,June 2021,N/A,Filecoin ID:: f0678914,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   3 ,August 2021,N/A,Filecoin ID:: f0678914,,
"REC - Green-e Energy- California, US Solar and/or Wind",                 93 ,July 2021,N/A,Filecoin ID:: f0763337,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
REC - Green-e Energy - NPCC  Solar and/or Wind,                   1 ,7/1/20 - 3/31/21,N/A,Filecoin ID:: f022142,,
I-REC - China Wind and/or Solar,                 81 ,June 2021,N/A,Filecoin ID:: f01051178,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   9 ,June 2021,N/A,Filecoin ID:: f01051828,,
"REC - Green-e Energy- California, US Solar and/or Wind",                   9 ,August 2021,N/A,Filecoin ID:: f01175097,,
GO -Belgium Solar and/or Wind,                   3 ,January 2021,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                 12 ,February 2021,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                 20 ,March 2021,Belgium,Filecoin ID:: f01234,,
GO -Belgium Solar and/or Wind,                   1 ,April 2021,Belgium,Filecoin ID:: f0720636,,
GO -Belgium Solar and/or Wind,                 24 ,May 2021,Belgium,Filecoin ID:: f0720636,,
GO -Belgium Solar and/or Wind,                 46 ,June 2021,Belgium,Filecoin ID:: f0720636,,
GO -Denmark Solar and/or Wind,                   4 ,7/1/20 - 3/31/21,Denmark,Filecoin ID:: f02576,,
REC - Green-e Energy- RFC  Biogas,                   1 ,September 2020,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,October 2020,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,November 2020,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,December 2020,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   2 ,January 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,February 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,March 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   2 ,April 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,May 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   2 ,June 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,July 2021,N/A,Filecoin ID:: f01278,,
REC - Green-e Energy- RFC Solar and/or Wind,                   1 ,August 2021,N/A,Filecoin ID:: f01278,,
LGC - Australia Wind and/or Solar,                   2 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
LGC - Australia Wind and/or Solar,                   1 ,Calendar Year 2021,N/A,Filecoin ID:: f014365,,
