"certificate","volume_MWh","order_folder","contract","minerID","contract_country","certificate_country","country_match","contract_region","certificate_region","region_match","contract_start","certificate_start","start_match","contract_end","certificate_end","end_match","cert_within_contract","country_region_and_certWithinContract"
"20220429_SP_delivery_27_certificate_27",249,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03328","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_28_certificate_28",11,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03345","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_29_certificate_29",8,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03358","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_30_certificate_30",37,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03363","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_31_certificate_31",69,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03364","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_32_certificate_32",134,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f03482","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_33_certificate_33",1,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f04443","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_34_certificate_34",10,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f05664","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_35_certificate_35",8,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f07945","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_36_certificate_36",8,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f07969","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_37_certificate_37",3,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f07998","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_38_certificate_38",18,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f08019","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_39_certificate_39",76,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f08094","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_40_certificate_40",108,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f08148","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_41_certificate_41",40,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f08157","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_42_certificate_42",3,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f08242","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_43_certificate_43",441,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f09002","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_44_certificate_44",119,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f09620","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_45_certificate_45",134,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f09693","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_46_certificate_46",30,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f010399","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_47_certificate_47",465,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f010400","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_48_certificate_48",13,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f010507","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_49_certificate_49",11,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f010528","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_50_certificate_50",276,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f014251","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_51_certificate_51",2,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f014394","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_52_certificate_52",38,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f014522","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_53_certificate_53",155,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f014569","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_54_certificate_54",92,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f015233","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_55_certificate_55",1,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f015685","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_56_certificate_56",43,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f015897","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_57_certificate_57",1,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f016276","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_58_certificate_58",127,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f017665","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_59_certificate_59",717,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f019002","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_60_certificate_60",51,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f019240","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_61_certificate_61",14,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f019362","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_62_certificate_62",2,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f019638","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_63_certificate_63",544,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f020331","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_64_certificate_64",1,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f020398","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_65_certificate_65",1,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f020436","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_66_certificate_66",2,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f020523","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_67_certificate_67",277,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f020742","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_68_certificate_68",2,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f021444","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_69_certificate_69",909,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f021525","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_70_certificate_70",72,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f021532","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_71_certificate_71",461,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f021961","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_72_certificate_72",65,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022111","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_73_certificate_73",41,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022227","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_74_certificate_74",53,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022289","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_75_certificate_75",35,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022308","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_76_certificate_76",17,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022399","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_77_certificate_77",13,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022566","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_78_certificate_78",2,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022687","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
"20220429_SP_delivery_79_certificate_79",132,"20220207_SP_PL_transaction_1","20220207_SP_PL_transaction_1_contract_1","f022748","CN","CN",true,"","",true,"2021-04-01","2021-04-01",true,"2021-06-30","2021-06-30",true,true,true
